index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, nFeature, numDocs, useHashing, date 
crisis3, 0.5408747591031338, 0.5100941178677793, 0.5756087541290648, 0.4234598056623248, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:43:25.969510  
crisis3, 0.3008055191796837, 0.2868386557360211, 0.31620216232182763, 0.1558187950616557, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:43:27.131551  
NG3, 0.8838224934189877, 0.8837359616187487, 0.8839090421665641, 0.9262004676850543, 0.30850542435529565, 0.02122932106974856, 0.8122886595531823, 0.8691364827976628, 1000, 1200, False, 2023-06-28 16:43:28.601604  
NG3, 0.8157016327754575, 0.8141871528084003, 0.8172217574495346, 0.849015769997203, 0.30850542435529565, 0.02122932106974856, 0.815267068496267, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:43:30.001372  
crisis4, 0.4926174955882379, 0.46429374142349833, 0.5246214803809105, 0.3437783160656254, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:43:31.853296  
crisis4, 0.6364192366517175, 0.609085046732434, 0.666322079216006, 0.5001669048221357, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:43:33.641914  
R4, 0.7691089003266315, 0.762119136954938, 0.7762280634904702, 0.7489734272737255, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, False, 2023-06-28 16:43:34.490598  
R4, 0.6389236646949041, 0.5883823201927286, 0.6989638299249272, 0.47750027948790336, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, False, 2023-06-28 16:43:35.291586  
NG5, 0.7440603614558478, 0.734109920712273, 0.75428425376287, 0.6722457375963287, 0.36409790028471983, 0.025599236800021914, 0.6099308914347776, 0.5169405972607832, 1000, 2000, False, 2023-06-28 16:43:38.343862  
NG5, 0.7555760788166516, 0.7474511329084644, 0.7638796055655328, 0.6998741204993076, 0.36409790028471983, 0.025599236800021914, 0.6099308914347776, 0.5169405972607832, 1000, 2000, False, 2023-06-28 16:43:41.169811  
R5, 0.5601037970920121, 0.5346703468875825, 0.5880777560204342, 0.47305346947416477, 0.47382944884649114, 0.11337275509563753, 0.3024432543437206, 0.13978698541144677, 1000, 500, False, 2023-06-28 16:43:41.880252  
R5, 0.593856682939949, 0.5862409999021131, 0.6016728363908219, 0.5534674086256498, 0.47382944884649114, 0.11337275509563753, 0.3024432543437206, 0.13978698541144677, 1000, 500, False, 2023-06-28 16:43:42.517147  
NG6, 0.6084994372256681, 0.5965174118999443, 0.6209726866387741, 0.48025670457795316, 0.4025369469853805, 0.026293985347148125, 0.6390894595075095, 0.5436943492754908, 1000, 2400, False, 2023-06-28 16:43:46.491632  
NG6, 0.6806490963516606, 0.6641740909006535, 0.6979622249703799, 0.5570655170604584, 0.4025369469853805, 0.026293985347148125, 0.6390894595075097, 0.5436943492754908, 1000, 2400, False, 2023-06-28 16:43:50.453847  
R6, 0.4986985241822506, 0.42999021824386724, 0.5935406117694135, 0.2999952852475107, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, False, 2023-06-28 16:43:51.706664  
R6, 0.6274362546437533, 0.6048595416812285, 0.651763690598793, 0.509541146923993, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, False, 2023-06-28 16:43:52.824957  
crisis3, 0.43430287502565834, 0.3937605937561267, 0.4841520156081549, 0.2512720518716538, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:48:22.669439  
crisis3, 0.5233072895091654, 0.4505965124252508, 0.6239993138839905, 0.3643922993813977, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:48:22.709665  
NG3, 0.8631676827853646, 0.8625926268973938, 0.8637435059181932, 0.9019178327516547, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:48:24.110082  
NG3, 0.8461824255380188, 0.8448061335265472, 0.8475632091612586, 0.8759078729906206, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:48:24.159394  
crisis4, 0.7669121005955793, 0.7603419079167587, 0.7735968304239486, 0.7365819401359447, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:48:25.895695  
crisis4, 0.5818894415853795, 0.5207136150581007, 0.659353294232385, 0.40796601847676944, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:48:25.942561  
R4, 0.7154500186952967, 0.7066242389343573, 0.7244990560096589, 0.6814851853322548, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, False, 2023-06-28 16:48:26.729846  
R4, 0.6613320054792736, 0.6495985604369064, 0.6734971208834134, 0.6013032244349407, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, False, 2023-06-28 16:48:26.773185  
NG5, 0.7504858370567494, 0.7421078712517563, 0.7590551275181553, 0.6916146602687158, 0.36409790028471983, 0.025599236800021914, 0.6099308914347774, 0.5169405972607832, 1000, 2000, False, 2023-06-28 16:48:29.579611  
NG5, 0.7240794770417252, 0.7099180624459649, 0.738817373842787, 0.6250265277469996, 0.36409790028471983, 0.025599236800021914, 0.6099308914347774, 0.5169405972607832, 1000, 2000, False, 2023-06-28 16:48:29.626864  
R5, 0.7689238499594457, 0.7670278968033983, 0.7708291992422651, 0.7817821905844309, 0.47382944884649114, 0.11337275509563753, 0.30244325434372066, 0.13978698541144677, 1000, 500, False, 2023-06-28 16:48:30.256157  
R5, 0.5827597156913892, 0.5576799653472355, 0.610201439837305, 0.493152741549465, 0.47382944884649114, 0.11337275509563753, 0.30244325434372066, 0.13978698541144677, 1000, 500, False, 2023-06-28 16:48:30.289401  
NG6, 0.6627295671879565, 0.6373006679856055, 0.6902720756386282, 0.4740573197292079, 0.4025369469853805, 0.026293985347148125, 0.6390894595075094, 0.5436943492754908, 1000, 2400, False, 2023-06-28 16:48:34.102836  
NG6, 0.6700393087815335, 0.6544196538243182, 0.6864228135240186, 0.5599262784449679, 0.4025369469853805, 0.026293985347148125, 0.6390894595075094, 0.5436943492754908, 1000, 2400, False, 2023-06-28 16:48:34.163099  
R6, 0.5694503097160236, 0.5424932381086397, 0.5992265189780066, 0.4160377944908269, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, False, 2023-06-28 16:48:35.360363  
R6, 0.6044128524505672, 0.5650754913160907, 0.6496369008621856, 0.4403454485166794, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, False, 2023-06-28 16:48:35.407411  
